               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.038095,            0.011735,            0.065721,             0.73252,             0.77347,             0.81915,             0.65333,            0.017029,           0.0038119,            0.033538,           0.0089065,           0.0089065,           0.0089065
                  70,            0.037779,            0.011803,             0.06565,             0.73299,             0.77626,             0.82036,             0.65391,            0.017062,           0.0038124,            0.033359,           0.0088755,           0.0088755,           0.0088755
                  71,            0.037597,            0.011677,            0.065517,             0.74553,             0.77316,             0.82195,             0.65472,            0.017075,           0.0038121,            0.033149,           0.0088442,           0.0088442,           0.0088442
                  72,            0.038098,            0.011818,            0.066165,             0.73736,             0.77999,             0.82368,             0.65575,            0.017103,           0.0038116,            0.032986,           0.0088124,           0.0088124,           0.0088124
                  73,            0.037869,            0.011773,            0.066086,             0.70776,             0.80814,             0.82432,              0.6563,            0.017122,           0.0038117,            0.032802,           0.0087804,           0.0087804,           0.0087804
                  74,            0.037967,            0.011614,            0.064688,             0.72706,             0.79192,             0.82494,             0.65653,            0.017153,           0.0038116,             0.03261,           0.0087479,           0.0087479,           0.0087479
                  75,            0.037767,            0.011776,            0.065049,             0.74003,             0.78311,             0.82562,              0.6578,             0.01717,            0.003811,            0.032406,           0.0087151,           0.0087151,           0.0087151
                  76,            0.037731,            0.011648,            0.064633,             0.72278,             0.80161,             0.82699,              0.6592,            0.017189,           0.0038111,            0.032244,            0.008682,            0.008682,            0.008682
                  77,             0.03795,            0.011625,            0.064237,             0.72178,             0.80596,             0.82808,             0.66016,            0.017191,            0.003809,            0.032093,           0.0086485,           0.0086485,           0.0086485
                  78,              0.0375,            0.011607,            0.063496,             0.72373,             0.80436,             0.82906,             0.66118,            0.017174,           0.0038089,            0.031945,           0.0086146,           0.0086146,           0.0086146
                  79,            0.037474,             0.01167,            0.063948,             0.72409,              0.8058,             0.83038,             0.66202,             0.01717,           0.0038075,            0.031787,           0.0085805,           0.0085805,           0.0085805
                  80,            0.038165,            0.011733,            0.064582,             0.73652,             0.79778,             0.83212,             0.66321,            0.017166,           0.0038071,            0.031579,           0.0085459,           0.0085459,           0.0085459
                  81,            0.037746,            0.011672,            0.064117,             0.73112,             0.80801,             0.83461,             0.66508,            0.017186,           0.0038081,            0.031387,           0.0085111,           0.0085111,           0.0085111
                  82,            0.037802,            0.011537,            0.063391,             0.74003,             0.80636,              0.8372,             0.66746,            0.017168,           0.0038082,            0.031156,           0.0084759,           0.0084759,           0.0084759
                  83,            0.037546,             0.01166,            0.062575,             0.74078,             0.81099,             0.83856,             0.66905,            0.017172,           0.0038069,            0.030939,           0.0084404,           0.0084404,           0.0084404
                  84,            0.037666,            0.011619,            0.063181,             0.74314,              0.8102,             0.84015,             0.67024,            0.017177,           0.0038058,             0.03077,           0.0084046,           0.0084046,           0.0084046
                  85,            0.037799,             0.01169,            0.063682,             0.74035,             0.81406,             0.84084,             0.67018,            0.017194,           0.0038047,            0.030565,           0.0083684,           0.0083684,           0.0083684
                  86,            0.038065,            0.011663,            0.063475,              0.7492,             0.80936,             0.84233,             0.67167,            0.017219,           0.0038038,            0.030389,           0.0083319,           0.0083319,           0.0083319
                  87,            0.037513,            0.011695,            0.064723,             0.74853,             0.81284,             0.84366,             0.67296,             0.01722,           0.0038042,             0.03025,           0.0082952,           0.0082952,           0.0082952
                  88,            0.037847,            0.011637,            0.063103,              0.7385,             0.82132,              0.8442,             0.67264,            0.017241,           0.0038032,            0.030097,           0.0082581,           0.0082581,           0.0082581
                  89,            0.037812,            0.011663,            0.063381,             0.74475,             0.81998,             0.84548,             0.67322,            0.017278,           0.0038027,             0.02992,           0.0082207,           0.0082207,           0.0082207
                  90,            0.037954,            0.011661,            0.062738,             0.75825,             0.80814,             0.84664,             0.67378,              0.0173,           0.0038026,            0.029742,            0.008183,            0.008183,            0.008183
                  91,            0.037772,            0.011588,            0.062193,             0.74299,             0.82482,             0.84831,             0.67489,            0.017336,           0.0038038,            0.029569,            0.008145,            0.008145,            0.008145
                  92,            0.037716,            0.011587,            0.062601,             0.74402,             0.82744,             0.84828,             0.67478,            0.017375,           0.0038042,            0.029392,           0.0081068,           0.0081068,           0.0081068
                  93,            0.037597,            0.011569,            0.061718,             0.76428,              0.8115,             0.84856,             0.67594,              0.0174,            0.003804,            0.029194,           0.0080682,           0.0080682,           0.0080682
                  94,            0.037312,             0.01158,            0.061559,             0.76629,             0.81172,             0.85032,             0.67686,            0.017419,           0.0038036,            0.028992,           0.0080294,           0.0080294,           0.0080294
                  95,            0.038001,            0.011646,            0.061735,             0.76284,             0.81713,             0.84937,             0.67688,            0.017441,           0.0038042,             0.02881,           0.0079903,           0.0079903,           0.0079903
                  96,            0.037594,            0.011661,            0.061373,             0.75945,             0.81943,             0.85198,             0.67881,            0.017451,           0.0038035,            0.028652,           0.0079509,           0.0079509,           0.0079509
                  97,            0.038075,            0.011637,            0.061955,             0.76802,             0.81504,               0.853,             0.68032,             0.01747,           0.0038029,            0.028531,           0.0079112,           0.0079112,           0.0079112
                  98,            0.037588,            0.011574,            0.060948,             0.76991,             0.81561,             0.85413,             0.68098,            0.017458,           0.0038017,            0.028396,           0.0078713,           0.0078713,           0.0078713
                  99,            0.037407,            0.011554,            0.059758,             0.77621,             0.81207,             0.85538,             0.68228,            0.017466,           0.0038007,            0.028268,           0.0078311,           0.0078311,           0.0078311
                 100,            0.037421,            0.011541,            0.061109,             0.76778,              0.8203,             0.85582,             0.68314,            0.017484,           0.0038007,            0.028139,           0.0077907,           0.0077907,           0.0077907
                 101,            0.038013,             0.01156,              0.0618,             0.76705,             0.82365,             0.85798,             0.68441,            0.017522,           0.0038005,            0.028001,             0.00775,             0.00775,             0.00775
                 102,            0.037285,            0.011561,            0.060636,             0.76795,             0.82478,             0.85831,             0.68448,            0.017542,           0.0037996,            0.027902,           0.0077091,           0.0077091,           0.0077091
                 103,            0.037992,            0.011534,            0.060318,             0.76082,             0.82973,             0.85972,             0.68555,            0.017535,           0.0037987,            0.027755,           0.0076679,           0.0076679,           0.0076679
                 104,             0.03754,            0.011584,            0.061005,             0.76583,             0.82701,             0.86073,             0.68691,            0.017532,           0.0037985,            0.027614,           0.0076265,           0.0076265,           0.0076265
                 105,            0.037746,            0.011594,            0.060662,             0.77335,             0.82533,             0.86092,              0.6869,            0.017561,           0.0037989,            0.027504,           0.0075848,           0.0075848,           0.0075848
                 106,            0.037623,            0.011544,            0.060202,             0.77154,              0.8284,              0.8612,             0.68719,             0.01757,           0.0037987,            0.027395,            0.007543,            0.007543,            0.007543
